,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Maximum Temperature,Wind Speed
0,Chui,4,UY,1587327011,78,-33.7,-53.46,67.73,8.21
1,Ponta do Sol,26,PT,1587326994,54,32.67,-17.1,58.55,8.01
2,Stornoway,0,GB,1587327034,70,58.21,-6.39,48.11,4.7
3,Atuona,48,PF,1587326972,74,-9.8,-139.03,82.96,16.98
4,Langerwehe,17,DE,1587327037,63,50.82,6.35,54.32,1.99
5,Hermanus,73,ZA,1587327038,94,-34.42,19.23,60.01,12.01
6,Albany,81,US,1587326845,27,42.6,-73.97,64.11,4.0
7,George Town,20,MY,1587326818,94,5.41,100.34,79.25,4.7
8,Lagoa,46,PT,1587327041,64,39.05,-27.98,57.13,23.09
9,Torbay,90,CA,1587327042,92,47.67,-52.73,33.01,28.86
10,Cape Town,75,ZA,1587326953,87,-33.93,18.42,61.81,18.34
11,Yulara,18,AU,1587327044,31,-25.24,130.99,77.0,3.36
12,Kapaa,75,US,1587327046,69,22.08,-159.32,77.0,5.79
13,Trenggalek,98,ID,1587327047,85,-8.05,111.72,76.12,0.92
14,Hithadhoo,88,MV,1587327048,76,-0.6,73.08,84.72,10.49
15,Ushuaia,75,AR,1587326918,75,-54.8,-68.3,44.6,28.86
16,Esim,98,GH,1587327050,80,4.87,-2.24,82.53,8.25
17,Bluff,85,NZ,1587327051,81,-46.6,168.33,44.01,4.0
18,New Norfolk,100,AU,1587326927,87,-42.78,147.06,47.89,5.37
19,Tsentoroy,11,RU,1587327054,76,43.01,46.22,53.6,2.24
20,Puerto Baquerizo Moreno,72,EC,1587327055,85,-0.9,-89.6,77.83,12.86
21,Fortuna,1,US,1587327056,67,40.6,-124.16,58.68,6.93
22,Beyneu,100,KZ,1587326966,40,45.32,55.2,65.21,9.51
23,Hasaki,75,JP,1587326918,87,35.73,140.83,48.09,12.75
24,Kaitangata,85,NZ,1587327059,50,-46.28,169.85,50.34,11.01
25,Punta Arenas,40,CL,1587327060,65,-53.15,-70.92,44.29,34.45
26,La Primavera,100,CO,1587327062,49,5.49,-70.41,90.07,4.0
27,Tettnang Castle,99,DE,1587327063,52,47.67,9.6,64.4,11.41
28,Jamestown,90,US,1587326902,47,42.1,-79.24,52.27,12.75
29,Rocha,16,UY,1587327027,75,-34.48,-54.33,66.13,4.5
30,Butaritari,28,KI,1587327066,76,3.07,172.79,83.1,10.04
31,São Filipe,0,CV,1587327067,75,14.9,-24.5,72.19,19.3
32,Souillac,75,MU,1587327068,88,-20.52,57.52,76.01,6.93
33,Vaini,20,TO,1587327069,83,-21.2,-175.2,78.8,8.05
34,Haines Junction,97,CA,1587327070,46,60.75,-137.51,47.73,7.52
35,Severo-Kuril'sk,83,RU,1587327072,91,50.68,156.12,29.23,11.56
36,Mataura,95,NZ,1587327073,81,-46.19,168.86,44.01,4.0
37,Broken Hill,100,AU,1587327074,28,-31.95,141.43,69.8,17.22
38,Codrington,55,AU,1587327075,83,-38.27,141.97,59.27,22.26
39,Kavieng,71,PG,1587327076,74,-2.57,150.8,83.59,5.12
40,Busselton,79,AU,1587327077,60,-33.65,115.33,52.57,17.05
41,Lata,21,PT,1587327078,81,40.16,-8.33,58.46,1.99
42,Rikitea,100,PF,1587326819,68,-23.12,-134.97,76.87,6.96
43,Cerro de Pasco,53,PE,1587327080,21,-10.68,-76.27,45.59,9.01
44,Barrow,90,US,1587327082,85,71.29,-156.79,12.2,3.36
45,Tiksi,100,RU,1587327083,89,71.69,128.87,10.42,6.31
46,Salinópolis,87,BR,1587326959,79,-0.61,-47.36,82.08,10.09
47,Lexington,90,US,1587327044,54,37.99,-84.48,58.75,8.05
48,Nemuro,91,JP,1587326833,81,43.32,145.57,37.98,11.14
49,Hong Kong,94,HK,1587326795,83,22.29,114.16,73.63,3.0
50,Ballina,1,AU,1587327088,93,-28.87,153.57,58.82,4.7
51,Constitución,81,CL,1587326926,52,-35.33,-72.42,64.09,17.76
52,Nouadhibou,0,MR,1587327091,60,20.93,-17.03,69.8,21.92
